hypothesis,symbol,entry_time,entry_price,stop_loss,target,shares,exit_time,exit_price,exit_reason,pnl,pnl_pct,sizing_mode,risk_budget,risk_per_share,dollar_risk_per_trade,position_value
H9a,MVO,2026-02-02 14:48:00+00:00,1.72,1.65,1.90,10000,2026-02-02 15:11:00+00:00,1.65,stop,-721.00,-4.19,fixed_risk,750,0.0721,721.00,17221.00
H9a,NCI,2026-02-02 19:49:00+00:00,1.35,1.32,1.43,10000,2026-02-02 19:53:00+00:00,1.32,stop,-300.00,-2.22,fixed_risk,750,0.0300,300.00,13500.00
H9a,SNES,2026-02-02 18:53:00+00:00,2.03,1.98,2.15,10000,2026-02-02 18:54:00+00:00,2.15,target,1250.00,6.16,fixed_risk,750,0.0500,500.00,20300.00
H9a,ELAB,2026-02-03 18:27:00+00:00,2.35,2.32,2.42,10000,2026-02-03 18:37:00+00:00,2.32,stop,-300.00,-1.28,fixed_risk,750,0.0300,300.00,23500.00
H9a,BNKK,2026-02-06 15:19:00+00:00,3.76,3.70,3.92,10000,2026-02-06 15:28:00+00:00,3.92,target,1625.00,4.32,fixed_risk,750,0.0650,650.00,37600.00
H9a,NTWK,2026-02-06 18:58:00+00:00,3.41,3.35,3.56,10000,2026-02-06 19:59:00+00:00,3.44,eod,300.00,0.88,fixed_risk,750,0.0600,600.00,34100.00
H9a,OPTX,2026-02-11 19:46:00+00:00,6.40,6.31,6.62,8342,2026-02-11 20:00:00+00:00,6.39,eod,-55.89,-0.10,fixed_risk,750,0.0899,749.95,53388.80
H9a,ZNB,2026-02-11 14:54:00+00:00,0.27,0.26,0.30,10000,2026-02-11 15:13:00+00:00,0.26,stop,-117.00,-4.28,fixed_risk,750,0.0117,117.00,2731.00
H9a,DBGI,2026-02-17 15:16:00+00:00,5.36,5.27,5.58,8342,2026-02-17 15:18:00+00:00,5.58,target,1874.86,4.19,fixed_risk,750,0.0899,749.95,44713.12
H9a,GLXG,2026-02-17 14:48:00+00:00,2.64,2.60,2.75,10000,2026-02-17 14:51:00+00:00,2.75,target,1047.50,3.96,fixed_risk,750,0.0419,419.00,26419.00
H9a,CDIO,2026-02-18 19:55:00+00:00,2.43,2.39,2.53,10000,2026-02-18 19:59:00+00:00,2.39,stop,-400.00,-1.65,fixed_risk,750,0.0400,400.00,24300.00
H9a,INTS,2026-02-19 15:02:00+00:00,6.18,6.02,6.59,4667,2026-02-19 15:03:00+00:00,6.59,target,1874.97,6.50,fixed_risk,750,0.1607,749.99,28865.39
H9a,KIDZ,2026-02-19 18:44:00+00:00,0.12,0.11,0.13,10000,2026-02-19 20:00:00+00:00,0.12,eod,-14.00,-1.17,fixed_risk,750,0.0060,59.90,1198.00
H9a,NAMM,2026-02-19 14:46:00+00:00,2.65,2.59,2.80,10000,2026-02-19 15:10:00+00:00,2.80,target,1500.00,5.66,fixed_risk,750,0.0600,600.00,26500.00
H9a,RLYB,2026-02-19 19:30:00+00:00,4.86,4.80,5.01,10000,2026-02-19 19:58:00+00:00,4.81,eod,-495.00,-1.02,fixed_risk,750,0.0602,602.00,48600.00
H9a,DBGI,2026-02-20 14:39:00+00:00,5.16,5.08,5.37,8823,2026-02-20 14:43:00+00:00,5.37,target,1874.89,4.12,fixed_risk,750,0.0850,749.95,45526.68
H9a,EDSA,2026-02-23 14:41:00+00:00,0.84,0.83,0.86,10000,2026-02-23 14:57:00+00:00,0.86,target,250.00,2.98,fixed_risk,750,0.0100,100.00,8378.00
H9a,ELPW,2026-02-24 19:42:00+00:00,0.41,0.40,0.45,10000,2026-02-24 19:45:00+00:00,0.45,target,355.00,8.61,fixed_risk,750,0.0142,142.00,4124.00
H9a,ELPW,2026-02-26 14:52:00+00:00,0.14,0.13,0.16,10000,2026-02-26 20:00:00+00:00,0.15,eod,50.00,3.56,fixed_risk,750,0.0070,70.30,1406.00
H9a,ASTI,2026-02-27 14:46:00+00:00,6.04,5.96,6.23,9999,2026-02-27 14:51:00+00:00,5.96,stop,-749.93,-1.24,fixed_risk,750,0.0750,749.93,60393.96
H9a,AENT,2026-03-02 19:47:00+00:00,5.49,5.38,5.78,6521,2026-03-02 19:58:00+00:00,5.38,stop,-749.92,-2.09,fixed_risk,750,0.1150,749.92,35800.29
H9a,INDO,2026-03-02 14:51:00+00:00,7.37,7.28,7.59,8333,2026-03-02 15:01:00+00:00,7.59,target,1874.92,3.05,fixed_risk,750,0.0900,749.97,61414.21
H9a,JFB,2026-03-02 15:08:00+00:00,17.49,16.99,18.74,1500,2026-03-02 15:25:00+00:00,18.74,target,1875.00,7.15,fixed_risk,750,0.5000,750.00,26235.00
H9a,RFIL,2026-03-02 14:46:00+00:00,12.28,12.14,12.61,5555,2026-03-02 14:58:00+00:00,12.61,target,1874.81,2.75,fixed_risk,750,0.1350,749.92,68187.62
H9a,EDSA,2026-03-03 14:36:00+00:00,2.84,2.74,3.08,7692,2026-03-03 14:45:00+00:00,3.08,target,1874.92,8.58,fixed_risk,750,0.0975,749.97,21845.28
H9a,SBLX,2026-03-03 18:33:00+00:00,2.42,2.37,2.54,10000,2026-03-03 19:51:00+00:00,2.50,eod,780.00,3.22,fixed_risk,750,0.0500,500.00,24200.00
H9a,VELO,2026-03-03 14:39:00+00:00,11.73,11.59,12.08,5360,2026-03-03 14:42:00+00:00,11.59,stop,-749.86,-1.19,fixed_risk,750,0.1399,749.86,62872.26
H9a,TMDE,2026-03-04 19:34:00+00:00,2.36,2.33,2.43,10000,2026-03-04 19:39:00+00:00,2.43,target,750.00,3.18,fixed_risk,750,0.0300,300.00,23600.00
H9a,TVGN,2026-03-06 14:58:00+00:00,7.50,7.15,8.36,2173,2026-03-06 15:02:00+00:00,8.36,target,1874.21,11.51,fixed_risk,750,0.3450,749.68,16286.64
H9a,OPTX,2026-03-09 13:42:00+00:00,6.56,6.41,6.94,4870,2026-03-09 13:45:00+00:00,6.94,target,1874.95,5.87,fixed_risk,750,0.1540,749.98,31942.33
H9a,SBLX,2026-03-10 14:49:00+00:00,2.69,2.64,2.81,10000,2026-03-10 16:33:00+00:00,2.81,target,1250.00,4.65,fixed_risk,750,0.0500,500.00,26900.00
H9a,BIAF,2026-03-13 13:43:00+00:00,2.12,2.05,2.29,10000,2026-03-13 13:44:00+00:00,2.29,target,1750.00,8.25,fixed_risk,750,0.0700,700.00,21200.00
H9a,PLYX,2026-03-13 18:33:00+00:00,6.80,6.71,7.02,8333,2026-03-13 18:34:00+00:00,7.02,target,1874.92,3.31,fixed_risk,750,0.0900,749.97,56664.40
H9a,QNTM,2026-03-13 13:55:00+00:00,2.56,2.53,2.66,10000,2026-03-13 14:10:00+00:00,2.53,stop,-386.00,-1.50,fixed_risk,750,0.0386,386.00,25650.00
